grid_id,latitude,longitude,elevation_m,slope_deg,aspect_deg,ndvi,ndwi,iron_oxide_index,clay_index,ferrous_index,lst_k,acquisition_date,synthetic
GRID-0221,21.858559,80.176065,367.3,1.0,2.6,0.491,-0.157,1.014,1.189,1.156,301.9,2026-03-15,True
GRID-0222,21.858559,80.177241,351.7,1.3,235.6,0.472,-0.18,0.883,1.015,0.99,302.6,2026-03-15,True
GRID-0223,21.858559,80.178418,339.0,1.6,247.6,0.391,-0.041,1.176,1.019,1.124,301.4,2026-03-15,True
GRID-0224,21.858559,80.179594,333.0,9.1,113.7,0.335,0.09,1.247,1.037,1.01,304.4,2026-03-15,True
GRID-0225,21.858559,80.180771,340.0,10.6,130.4,0.569,0.095,1.081,1.05,0.76,307.1,2026-03-15,True
GRID-0226,21.858559,80.181947,345.6,19.1,55.7,0.293,0.063,1.465,1.062,0.965,303.0,2026-03-15,True
GRID-0227,21.858559,80.183124,361.0,23.6,234.6,0.642,-0.063,1.231,1.125,1.017,306.2,2026-03-15,True
GRID-0228,21.858559,80.1843,378.3,26.6,91.3,0.387,-0.147,1.177,1.246,1.067,303.8,2026-03-15,True
GRID-0229,21.858559,80.185476,381.7,26.9,307.8,0.621,0.005,1.411,1.146,0.942,305.0,2026-03-15,True
GRID-0230,21.858559,80.186653,377.2,26.9,152.5,0.601,0.114,1.368,1.355,0.83,299.0,2026-03-15,True
GRID-0231,21.858559,80.187829,377.0,25.0,131.6,0.419,-0.072,1.135,1.026,1.15,304.6,2026-03-15,True
GRID-0232,21.858559,80.189006,367.1,20.9,99.2,0.591,-0.065,1.227,1.023,0.898,305.3,2026-03-15,True
GRID-0233,21.858559,80.190182,346.6,13.7,245.0,0.662,-0.113,1.284,1.089,0.869,304.9,2026-03-15,True
GRID-0234,21.858559,80.191359,340.0,7.2,271.8,0.653,-0.07,1.0,1.055,0.92,304.8,2026-03-15,True
GRID-0235,21.858559,80.192535,336.5,5.2,148.8,0.653,-0.179,1.208,1.286,0.926,304.6,2026-03-15,True
GRID-0236,21.858559,80.193712,336.6,1.0,282.2,0.341,-0.149,1.219,1.027,1.023,304.0,2026-03-15,True
GRID-0237,21.858559,80.194888,353.3,1.0,173.7,0.429,0.012,1.465,0.917,0.996,303.1,2026-03-15,True
GRID-0238,21.858559,80.196065,367.5,1.0,133.3,0.405,-0.141,1.373,1.067,1.067,306.0,2026-03-15,True
GRID-0239,21.858559,80.197241,374.5,1.0,199.8,0.605,-0.005,1.496,1.196,1.001,303.5,2026-03-15,True
GRID-0240,21.858559,80.198418,385.9,1.5,91.4,0.464,-0.174,1.301,1.429,1.021,302.9,2026-03-15,True
GRID-0241,21.858559,80.199594,387.7,6.6,110.4,0.383,-0.035,1.091,1.105,0.856,302.0,2026-03-15,True
GRID-0242,21.858559,80.200771,368.4,10.5,124.0,0.423,-0.209,1.184,0.865,0.739,299.3,2026-03-15,True
GRID-0243,21.858559,80.201947,360.5,14.6,254.0,0.521,-0.063,1.147,1.072,0.879,301.5,2026-03-15,True
GRID-0244,21.858559,80.203124,341.9,17.3,264.9,0.486,-0.058,1.119,1.064,0.985,303.5,2026-03-15,True
GRID-0245,21.858559,80.2043,338.5,24.9,307.8,0.545,0.017,1.391,0.973,0.974,301.6,2026-03-15,True
GRID-0246,21.859735,80.1643,364.8,24.7,237.3,0.437,0.168,1.296,1.096,0.842,303.4,2026-03-15,True
GRID-0247,21.859735,80.165476,380.9,21.5,269.2,0.543,0.034,1.35,0.72,1.05,301.4,2026-03-15,True
GRID-0248,21.859735,80.166653,383.5,19.7,160.8,0.637,-0.045,1.167,1.035,0.88,305.2,2026-03-15,True
GRID-0249,21.859735,80.167829,383.1,14.0,251.8,0.525,-0.152,1.443,1.176,0.894,306.2,2026-03-15,True
GRID-0250,21.859735,80.169006,375.2,10.6,58.2,0.455,0.174,1.453,0.863,0.938,300.9,2026-03-15,True
GRID-0251,21.859735,80.170182,356.1,2.7,77.2,0.556,-0.066,1.381,1.011,1.026,303.4,2026-03-15,True
GRID-0252,21.859735,80.171359,351.0,1.0,144.2,0.401,-0.3,1.167,1.136,1.18,304.4,2026-03-15,True
GRID-0253,21.859735,80.172535,343.8,1.0,121.8,0.565,-0.044,1.254,1.015,1.125,308.0,2026-03-15,True
GRID-0254,21.859735,80.173712,334.4,1.0,198.2,0.347,-0.113,0.965,1.232,0.813,303.5,2026-03-15,True
GRID-0255,21.859735,80.174888,342.4,1.0,250.9,0.549,-0.082,1.164,1.064,1.273,307.2,2026-03-15,True
GRID-0256,21.859735,80.176065,356.0,1.0,254.4,0.375,-0.041,1.251,1.18,0.947,302.3,2026-03-15,True
GRID-0257,21.859735,80.177241,371.2,5.2,57.9,0.341,-0.152,1.072,1.164,1.24,303.0,2026-03-15,True
GRID-0258,21.859735,80.178418,376.8,8.4,347.2,0.593,-0.098,1.138,1.051,1.108,307.9,2026-03-15,True
GRID-0259,21.859735,80.179594,386.9,16.5,1.9,0.397,-0.103,1.324,1.401,1.006,301.0,2026-03-15,True
GRID-0260,21.859735,80.180771,378.7,19.4,32.8,0.654,0.012,1.24,1.098,1.07,304.8,2026-03-15,True
GRID-0261,21.859735,80.181947,370.0,19.8,52.3,0.183,-0.26,1.797,2.267,1.554,311.9,2026-03-15,True
GRID-0262,21.859735,80.183124,359.4,29.4,333.3,0.197,-0.291,2.625,1.688,1.824,307.8,2026-03-15,True
GRID-0263,21.859735,80.1843,341.1,26.9,156.7,0.239,-0.171,2.011,2.036,1.599,306.8,2026-03-15,True
GRID-0264,21.859735,80.185476,337.5,26.6,23.1,0.226,-0.256,2.328,2.071,1.806,311.3,2026-03-15,True
GRID-0265,21.859735,80.186653,335.6,23.5,79.8,0.144,-0.299,2.312,1.942,1.484,315.4,2026-03-15,True
GRID-0266,21.859735,80.187829,344.6,22.2,28.8,0.531,-0.031,1.517,1.107,0.948,301.3,2026-03-15,True
GRID-0267,21.859735,80.189006,356.5,15.9,13.6,0.547,-0.067,1.387,1.052,1.04,302.4,2026-03-15,True
GRID-0268,21.859735,80.190182,368.1,8.1,138.4,0.648,-0.068,1.734,1.071,1.255,303.7,2026-03-15,True
GRID-0269,21.859735,80.191359,379.1,1.5,354.4,0.669,-0.074,0.89,1.107,0.986,306.9,2026-03-15,True
GRID-0270,21.859735,80.192535,379.5,4.4,221.0,0.538,0.119,1.301,1.184,0.973,302.7,2026-03-15,True
GRID-0271,21.859735,80.193712,375.0,1.0,187.6,0.511,-0.046,1.524,1.228,1.267,303.8,2026-03-15,True
GRID-0272,21.859735,80.194888,368.9,1.0,256.2,0.568,-0.177,1.474,1.155,0.689,304.7,2026-03-15,True
GRID-0273,21.859735,80.196065,356.2,1.0,215.1,0.559,0.066,1.309,1.265,0.976,306.5,2026-03-15,True
GRID-0274,21.859735,80.197241,340.1,1.4,340.5,0.488,0.065,1.008,0.949,1.104,302.3,2026-03-15,True
GRID-0275,21.859735,80.198418,338.6,5.0,295.3,0.425,0.068,1.028,0.992,1.217,304.2,2026-03-15,True
GRID-0276,21.859735,80.199594,336.9,10.6,230.5,0.386,0.085,1.304,1.163,1.029,302.8,2026-03-15,True
GRID-0277,21.859735,80.200771,347.7,15.7,158.0,0.413,-0.141,1.051,0.958,0.994,304.6,2026-03-15,True
GRID-0278,21.859735,80.201947,362.1,22.3,72.6,0.666,0.003,1.029,0.841,1.072,309.4,2026-03-15,True
GRID-0279,21.859735,80.203124,374.6,24.2,236.5,0.439,-0.064,0.769,1.164,1.075,302.9,2026-03-15,True
GRID-0280,21.859735,80.2043,379.7,30.4,289.4,0.558,-0.032,1.126,1.125,0.989,302.4,2026-03-15,True
GRID-0281,21.860912,80.1643,362.7,24.9,103.0,0.623,0.036,1.138,1.091,0.873,305.9,2026-03-15,True
GRID-0282,21.860912,80.165476,403.6,21.9,12.1,0.453,0.021,0.972,1.377,0.911,304.5,2026-03-15,True
GRID-0283,21.860912,80.166653,420.1,15.2,215.8,0.464,-0.121,1.079,1.48,1.044,303.5,2026-03-15,True
GRID-0284,21.860912,80.167829,417.6,10.7,185.7,0.484,-0.115,1.276,1.365,0.961,303.6,2026-03-15,True
GRID-0285,21.860912,80.169006,394.8,4.6,83.4,0.666,-0.003,0.908,1.115,1.114,302.1,2026-03-15,True
GRID-0286,21.860912,80.170182,359.6,1.0,61.0,0.422,-0.146,0.941,1.382,1.093,301.3,2026-03-15,True
GRID-0287,21.860912,80.171359,327.8,1.0,13.0,0.366,-0.109,1.194,0.883,1.397,305.6,2026-03-15,True
GRID-0288,21.860912,80.172535,307.0,1.0,86.1,0.481,-0.031,0.954,0.955,0.914,302.7,2026-03-15,True
GRID-0289,21.860912,80.173712,300.1,1.0,0.1,0.462,-0.042,1.259,1.292,1.026,305.2,2026-03-15,True
GRID-0290,21.860912,80.174888,312.0,2.8,56.7,0.362,0.002,1.284,1.104,1.232,303.9,2026-03-15,True
GRID-0291,21.860912,80.176065,341.6,4.6,358.9,0.423,-0.023,1.257,1.073,1.179,302.7,2026-03-15,True
GRID-0292,21.860912,80.177241,377.6,9.5,280.7,0.559,-0.172,1.158,0.879,0.78,303.6,2026-03-15,True
GRID-0293,21.860912,80.178418,408.0,13.1,127.1,0.508,-0.073,1.591,1.127,1.163,303.0,2026-03-15,True
GRID-0294,21.860912,80.179594,424.6,21.0,142.3,0.194,-0.375,2.738,1.894,1.492,312.4,2026-03-15,True
GRID-0295,21.860912,80.180771,410.6,16.9,211.0,0.32,-0.377,2.866,1.736,1.546,313.3,2026-03-15,True
GRID-0296,21.860912,80.181947,385.1,23.2,186.4,0.242,-0.232,2.676,2.035,1.816,307.4,2026-03-15,True
GRID-0297,21.860912,80.183124,352.7,25.1,265.3,0.197,-0.297,1.903,1.932,1.858,307.7,2026-03-15,True
GRID-0298,21.860912,80.1843,320.4,27.8,24.7,0.181,-0.216,2.448,1.959,1.539,312.5,2026-03-15,True
GRID-0299,21.860912,80.185476,301.3,22.9,32.5,0.212,-0.364,2.542,1.778,1.784,314.5,2026-03-15,True
GRID-0300,21.860912,80.186653,303.1,18.4,102.4,0.336,-0.327,1.902,1.592,1.583,314.1,2026-03-15,True
GRID-0301,21.860912,80.187829,322.5,12.6,298.7,0.167,-0.432,2.132,1.594,1.496,314.3,2026-03-15,True
GRID-0302,21.860912,80.189006,356.2,8.3,329.4,0.397,-0.265,2.305,1.683,1.169,309.0,2026-03-15,True
GRID-0303,21.860912,80.190182,383.9,1.7,125.3,0.368,0.101,1.531,1.325,1.163,303.9,2026-03-15,True
GRID-0304,21.860912,80.191359,415.9,1.5,346.8,0.544,-0.188,0.899,0.92,0.973,302.6,2026-03-15,True
GRID-0305,21.860912,80.192535,419.4,1.0,99.5,0.364,0.059,1.335,0.948,1.267,301.9,2026-03-15,True
GRID-0306,21.860912,80.193712,406.3,1.0,218.3,0.558,-0.004,1.24,1.201,1.109,300.5,2026-03-15,True
GRID-0307,21.860912,80.194888,377.1,1.0,70.0,0.505,0.056,0.978,1.057,1.077,305.6,2026-03-15,True
GRID-0308,21.860912,80.196065,342.3,1.6,334.7,0.475,0.165,1.219,1.215,1.123,301.9,2026-03-15,True
GRID-0309,21.860912,80.197241,317.0,1.9,207.0,0.494,0.022,1.363,1.315,0.764,303.5,2026-03-15,True
GRID-0310,21.860912,80.198418,301.0,9.8,94.0,0.523,-0.115,0.981,1.455,0.974,298.4,2026-03-15,True
GRID-0311,21.860912,80.199594,304.5,11.9,146.6,0.374,-0.041,1.418,1.009,0.973,301.6,2026-03-15,True
GRID-0312,21.860912,80.200771,335.4,20.4,38.3,0.482,-0.196,1.086,1.228,1.051,302.9,2026-03-15,True
GRID-0313,21.860912,80.201947,367.8,26.4,26.1,0.328,-0.135,1.05,1.442,1.134,305.8,2026-03-15,True
GRID-0314,21.860912,80.203124,402.7,26.3,105.9,0.381,0.034,1.23,0.925,1.248,305.7,2026-03-15,True
GRID-0315,21.860912,80.2043,418.2,28.9,340.9,0.473,-0.124,1.57,1.14,1.024,301.5,2026-03-15,True
GRID-0316,21.862088,80.1643,372.4,20.4,289.1,0.583,-0.162,1.266,0.877,1.036,303.0,2026-03-15,True
GRID-0317,21.862088,80.165476,407.3,13.4,344.4,0.523,0.003,1.362,1.054,1.323,300.8,2026-03-15,True
GRID-0318,21.862088,80.166653,435.6,9.3,315.4,0.52,-0.133,0.987,1.2,1.18,303.7,2026-03-15,True
GRID-0319,21.862088,80.167829,429.2,8.3,292.7,0.5,-0.057,0.94,0.932,1.067,300.8,2026-03-15,True
GRID-0320,21.862088,80.169006,411.3,1.0,207.0,0.602,-0.168,0.903,1.084,0.86,306.1,2026-03-15,True
GRID-0321,21.862088,80.170182,367.9,1.0,249.9,0.47,-0.107,1.577,1.112,0.898,301.6,2026-03-15,True
GRID-0322,21.862088,80.171359,320.5,1.0,347.8,0.576,-0.21,1.05,1.063,1.132,302.4,2026-03-15,True
GRID-0323,21.862088,80.172535,288.3,1.0,202.7,0.488,-0.138,1.176,1.122,1.128,307.0,2026-03-15,True
GRID-0324,21.862088,80.173712,283.8,1.0,277.2,0.486,-0.05,1.401,1.137,1.243,304.3,2026-03-15,True
GRID-0325,21.862088,80.174888,305.2,6.7,272.7,0.579,0.08,1.319,1.177,1.154,302.5,2026-03-15,True
GRID-0326,21.862088,80.176065,343.5,9.2,346.0,0.572,-0.089,1.33,1.307,1.162,306.0,2026-03-15,True
GRID-0327,21.862088,80.177241,387.6,14.0,165.2,0.172,-0.065,2.525,2.368,1.44,311.6,2026-03-15,True
GRID-0328,21.862088,80.178418,423.5,18.6,165.9,0.214,-0.308,2.552,2.372,1.53,312.3,2026-03-15,True
GRID-0329,21.862088,80.179594,442.8,26.3,211.3,0.17,-0.162,2.442,2.354,1.547,310.8,2026-03-15,True
GRID-0330,21.862088,80.180771,424.7,25.2,9.8,0.208,-0.365,2.314,1.721,1.467,312.1,2026-03-15,True
GRID-0331,21.862088,80.181947,389.5,27.2,41.9,0.138,-0.336,2.38,1.832,1.847,309.7,2026-03-15,True
GRID-0332,21.862088,80.183124,352.1,26.7,24.3,0.327,-0.394,2.786,1.689,1.399,312.2,2026-03-15,True
GRID-0333,21.862088,80.1843,305.0,19.6,228.1,0.255,-0.219,2.156,2.03,1.43,307.3,2026-03-15,True
GRID-0334,21.862088,80.185476,282.8,23.0,357.9,0.179,-0.191,2.413,1.798,1.725,313.3,2026-03-15,True
GRID-0335,21.862088,80.186653,285.1,15.4,243.7,0.215,-0.195,2.0,1.58,1.582,312.8,2026-03-15,True
GRID-0336,21.862088,80.187829,311.8,12.1,82.8,0.294,-0.281,2.014,2.065,1.508,305.5,2026-03-15,True
GRID-0337,21.862088,80.189006,356.4,6.3,113.7,0.287,-0.286,1.109,1.044,1.026,305.6,2026-03-15,True
GRID-0338,21.862088,80.190182,396.6,4.3,344.0,0.319,-0.159,1.474,1.335,0.952,302.1,2026-03-15,True
GRID-0339,21.862088,80.191359,423.7,1.0,185.9,0.458,-0.014,1.16,0.906,0.894,301.2,2026-03-15,True
GRID-0340,21.862088,80.192535,439.7,1.0,3.5,0.65,0.013,1.209,1.002,0.85,305.0,2026-03-15,True
GRID-0341,21.862088,80.193712,420.0,1.0,299.6,0.4,-0.095,1.298,0.825,0.883,301.2,2026-03-15,True
GRID-0342,21.862088,80.194888,382.4,1.0,89.4,0.495,-0.035,1.479,1.471,0.861,303.0,2026-03-15,True
GRID-0343,21.862088,80.196065,332.2,2.8,33.5,0.455,-0.036,1.248,0.958,1.074,301.1,2026-03-15,True
GRID-0344,21.862088,80.197241,298.2,7.8,242.5,0.512,0.032,1.232,1.301,1.089,300.2,2026-03-15,True
GRID-0345,21.862088,80.198418,286.1,12.7,295.6,0.581,-0.0,1.376,1.212,0.915,306.8,2026-03-15,True
GRID-0346,21.862088,80.199594,291.3,19.5,27.4,0.452,-0.024,1.097,0.838,1.002,300.2,2026-03-15,True
GRID-0347,21.862088,80.200771,323.1,24.9,335.3,0.455,-0.069,1.335,0.821,1.156,298.3,2026-03-15,True
GRID-0348,21.862088,80.201947,373.5,26.6,171.6,0.602,-0.081,0.894,1.156,1.102,303.0,2026-03-15,True
GRID-0349,21.862088,80.203124,409.3,28.2,127.3,0.357,0.11,1.043,0.966,1.04,306.9,2026-03-15,True
GRID-0350,21.862088,80.2043,434.9,23.1,322.0,0.401,0.004,1.267,1.028,1.226,303.2,2026-03-15,True
GRID-0351,21.863265,80.1643,368.0,16.4,96.9,0.393,0.064,1.376,1.113,1.065,305.1,2026-03-15,True
GRID-0352,21.863265,80.165476,406.5,10.5,341.0,0.424,0.128,1.483,0.93,1.141,303.1,2026-03-15,True
GRID-0353,21.863265,80.166653,433.1,4.1,245.9,0.429,0.026,0.95,1.065,1.089,302.6,2026-03-15,True
GRID-0354,21.863265,80.167829,421.5,2.4,327.6,0.657,-0.108,1.023,1.046,1.283,304.2,2026-03-15,True
GRID-0355,21.863265,80.169006,401.6,1.0,179.6,0.509,-0.117,1.079,0.841,1.064,305.2,2026-03-15,True
GRID-0356,21.863265,80.170182,363.0,1.0,71.9,0.44,0.049,1.305,0.869,1.186,305.6,2026-03-15,True
GRID-0357,21.863265,80.171359,325.8,1.0,264.8,0.467,-0.11,0.95,0.885,1.215,302.7,2026-03-15,True
GRID-0358,21.863265,80.172535,298.9,1.5,314.2,0.51,-0.028,1.288,1.196,1.077,303.0,2026-03-15,True
GRID-0359,21.863265,80.173712,291.2,4.4,74.4,0.541,-0.06,1.024,1.179,1.087,304.6,2026-03-15,True
GRID-0360,21.863265,80.174888,306.0,10.0,73.0,0.447,0.171,1.109,1.042,1.14,304.1,2026-03-15,True
GRID-0361,21.863265,80.176065,341.6,15.4,89.9,0.295,-0.315,2.13,2.035,1.811,307.4,2026-03-15,True
GRID-0362,21.863265,80.177241,381.2,18.3,222.7,0.221,-0.308,2.667,2.289,1.712,312.6,2026-03-15,True
GRID-0363,21.863265,80.178418,423.4,26.6,56.2,0.217,-0.339,2.534,2.075,1.8,310.4,2026-03-15,True
GRID-0364,21.863265,80.179594,432.8,23.0,38.4,0.187,-0.254,2.212,1.685,1.832,308.7,2026-03-15,True
GRID-0365,21.863265,80.180771,426.9,23.6,331.3,0.232,-0.26,2.369,1.595,1.558,311.1,2026-03-15,True
GRID-0366,21.863265,80.181947,392.3,25.0,243.3,0.216,-0.222,2.209,1.856,1.685,310.7,2026-03-15,True
GRID-0367,21.863265,80.183124,351.5,23.0,238.8,0.247,-0.345,1.987,1.881,1.867,312.5,2026-03-15,True
GRID-0368,21.863265,80.1843,312.0,21.3,221.0,0.19,-0.405,2.158,1.921,1.557,311.8,2026-03-15,True
GRID-0369,21.863265,80.185476,292.0,15.8,275.1,0.28,-0.343,2.319,1.698,1.824,311.8,2026-03-15,True
GRID-0370,21.863265,80.186653,294.6,8.7,194.9,0.155,-0.359,2.176,1.957,1.378,306.0,2026-03-15,True
GRID-0371,21.863265,80.187829,319.2,1.0,15.2,0.413,-0.027,1.269,1.222,1.006,303.0,2026-03-15,True
GRID-0372,21.863265,80.189006,357.8,1.0,173.6,0.555,-0.024,1.016,1.184,1.058,302.7,2026-03-15,True
GRID-0373,21.863265,80.190182,394.4,2.6,223.4,0.534,0.033,1.507,1.174,1.062,303.8,2026-03-15,True
GRID-0374,21.863265,80.191359,421.7,1.0,177.2,0.455,0.088,1.249,1.402,1.078,303.6,2026-03-15,True
GRID-0375,21.863265,80.192535,431.5,1.0,354.7,0.431,-0.006,1.332,1.026,0.983,299.9,2026-03-15,True
GRID-0376,21.863265,80.193712,413.8,2.5,322.9,0.44,0.116,0.951,1.126,0.955,299.7,2026-03-15,True
GRID-0377,21.863265,80.194888,381.7,3.6,312.8,0.461,-0.082,1.094,0.933,1.163,303.2,2026-03-15,True
GRID-0378,21.863265,80.196065,337.3,5.6,176.7,0.371,-0.093,1.102,1.234,0.824,301.5,2026-03-15,True
GRID-0379,21.863265,80.197241,303.7,12.6,354.4,0.604,-0.076,1.122,1.093,1.147,306.8,2026-03-15,True
GRID-0380,21.863265,80.198418,288.0,21.4,329.8,0.489,-0.111,1.586,1.121,0.844,302.5,2026-03-15,True
GRID-0381,21.863265,80.199594,303.4,21.3,100.9,0.554,-0.018,1.26,0.968,1.004,302.5,2026-03-15,True
GRID-0382,21.863265,80.200771,325.3,26.9,80.0,0.6,0.087,1.542,0.965,1.337,303.6,2026-03-15,True
GRID-0383,21.863265,80.201947,371.7,25.0,207.6,0.465,-0.3,1.066,1.215,1.094,302.1,2026-03-15,True
GRID-0384,21.863265,80.203124,402.8,26.9,19.5,0.584,0.056,1.162,1.006,1.446,307.4,2026-03-15,True
GRID-0385,21.863265,80.2043,431.3,21.6,287.7,0.472,-0.267,1.022,1.245,0.741,303.2,2026-03-15,True
GRID-0386,21.864441,80.1643,368.1,11.3,172.2,0.761,-0.029,1.388,1.395,1.028,304.9,2026-03-15,True
GRID-0387,21.864441,80.165476,384.7,8.9,194.7,0.354,-0.004,1.408,1.321,1.058,299.6,2026-03-15,True
GRID-0388,21.864441,80.166653,397.6,1.7,180.9,0.474,-0.184,1.675,1.148,1.071,303.2,2026-03-15,True
GRID-0389,21.864441,80.167829,398.0,1.0,141.7,0.434,-0.155,0.963,1.028,1.06,303.6,2026-03-15,True
GRID-0390,21.864441,80.169006,385.7,1.0,247.1,0.361,0.054,1.087,1.189,1.021,303.7,2026-03-15,True
GRID-0391,21.864441,80.170182,362.0,1.0,62.9,0.455,-0.052,1.051,1.403,0.824,303.6,2026-03-15,True
GRID-0392,21.864441,80.171359,335.4,1.0,351.5,0.393,0.033,0.863,1.115,0.952,302.5,2026-03-15,True
GRID-0393,21.864441,80.172535,325.6,4.7,251.4,0.482,-0.088,1.454,0.919,1.188,300.7,2026-03-15,True
GRID-0394,21.864441,80.173712,322.3,6.7,165.6,0.619,-0.122,1.304,1.389,1.197,304.5,2026-03-15,True
GRID-0395,21.864441,80.174888,326.6,13.3,248.1,0.281,-0.194,2.685,1.728,1.85,307.3,2026-03-15,True
GRID-0396,21.864441,80.176065,351.3,18.5,4.3,0.234,-0.439,2.522,1.519,1.716,308.3,2026-03-15,True
GRID-0397,21.864441,80.177241,367.3,21.6,75.9,0.158,-0.19,2.387,1.889,1.68,310.5,2026-03-15,True
GRID-0398,21.864441,80.178418,391.7,27.7,209.2,0.187,-0.228,2.002,1.896,1.726,311.7,2026-03-15,True
GRID-0399,21.864441,80.179594,399.5,26.7,117.2,0.287,-0.227,2.381,2.008,1.661,306.0,2026-03-15,True
GRID-0400,21.864441,80.180771,390.4,28.6,220.6,0.22,-0.277,2.188,1.883,1.855,308.3,2026-03-15,True
GRID-0401,21.864441,80.181947,378.9,25.0,93.5,0.214,-0.335,2.106,1.666,2.123,312.3,2026-03-15,True
GRID-0402,21.864441,80.183124,354.8,17.7,197.5,0.25,-0.302,2.371,1.679,1.934,310.8,2026-03-15,True
GRID-0403,21.864441,80.1843,336.6,15.3,85.4,0.164,-0.292,2.781,2.077,1.738,311.7,2026-03-15,True
GRID-0404,21.864441,80.185476,319.1,12.3,169.7,0.265,-0.344,2.006,1.723,1.549,306.0,2026-03-15,True
GRID-0405,21.864441,80.186653,325.4,3.8,220.7,0.414,-0.062,0.986,0.987,1.308,302.1,2026-03-15,True
GRID-0406,21.864441,80.187829,331.8,1.0,131.7,0.728,-0.121,0.94,1.243,1.065,301.3,2026-03-15,True
GRID-0407,21.864441,80.189006,361.7,1.0,179.6,0.473,-0.093,1.277,0.933,1.312,305.3,2026-03-15,True
GRID-0408,21.864441,80.190182,379.6,1.0,75.8,0.392,-0.103,1.208,0.983,0.599,300.7,2026-03-15,True
GRID-0409,21.864441,80.191359,397.3,1.0,252.3,0.352,-0.284,1.296,0.915,1.186,305.5,2026-03-15,True
GRID-0410,21.864441,80.192535,397.0,4.1,134.0,0.491,-0.038,1.313,1.219,1.207,305.6,2026-03-15,True
GRID-0411,21.864441,80.193712,390.6,3.1,307.6,0.614,0.07,1.317,0.783,1.248,305.3,2026-03-15,True
GRID-0412,21.864441,80.194888,370.5,9.3,100.7,0.514,-0.025,0.954,1.362,0.977,300.3,2026-03-15,True
GRID-0413,21.864441,80.196065,342.4,14.8,64.8,0.502,0.026,1.109,1.087,1.21,303.9,2026-03-15,True
GRID-0414,21.864441,80.197241,327.7,17.7,47.2,0.465,-0.08,1.253,1.113,1.187,302.5,2026-03-15,True
GRID-0415,21.864441,80.198418,317.5,26.6,207.3,0.295,0.049,1.428,0.918,1.171,301.6,2026-03-15,True
GRID-0416,21.864441,80.199594,326.2,22.4,82.3,0.396,0.09,0.96,1.17,0.945,307.4,2026-03-15,True
GRID-0417,21.864441,80.200771,344.6,24.8,36.0,0.485,0.142,1.553,0.866,1.004,304.8,2026-03-15,True
GRID-0418,21.864441,80.201947,363.1,24.0,97.2,0.343,0.007,1.4,1.02,1.083,304.0,2026-03-15,True
GRID-0419,21.864441,80.203124,382.0,25.2,84.9,0.498,-0.044,1.311,1.211,0.993,302.7,2026-03-15,True
GRID-0420,21.864441,80.2043,398.8,21.5,155.6,0.599,-0.065,1.415,0.923,1.198,304.0,2026-03-15,True
GRID-0421,21.865618,80.1643,360.7,3.9,137.1,0.578,0.08,1.124,1.213,0.976,305.3,2026-03-15,True
GRID-0422,21.865618,80.165476,362.4,1.2,52.5,0.534,-0.221,1.235,1.148,1.041,303.4,2026-03-15,True
GRID-0423,21.865618,80.166653,350.7,1.0,345.3,0.458,0.061,1.347,1.07,1.155,302.5,2026-03-15,True
GRID-0424,21.865618,80.167829,349.1,1.0,53.8,0.379,-0.105,0.766,0.882,0.918,300.9,2026-03-15,True
GRID-0425,21.865618,80.169006,352.6,1.0,290.0,0.368,-0.138,1.064,0.765,0.996,304.4,2026-03-15,True
GRID-0426,21.865618,80.170182,358.3,1.0,63.6,0.235,-0.161,1.289,1.272,1.131,303.1,2026-03-15,True
GRID-0427,21.865618,80.171359,361.9,3.1,179.9,0.483,0.014,1.003,0.889,1.351,303.0,2026-03-15,True
GRID-0428,21.865618,80.172535,364.9,8.4,358.4,0.499,0.044,0.976,0.873,1.108,304.5,2026-03-15,True
GRID-0429,21.865618,80.173712,362.8,16.1,305.8,0.684,0.019,1.353,1.204,1.387,304.1,2026-03-15,True
GRID-0430,21.865618,80.174888,367.2,17.7,186.1,0.256,-0.267,2.108,1.985,1.496,308.4,2026-03-15,True
GRID-0431,21.865618,80.176065,361.4,25.6,259.4,0.248,-0.306,2.271,1.867,1.709,311.4,2026-03-15,True
GRID-0432,21.865618,80.177241,355.1,24.3,282.7,0.212,-0.225,2.082,1.944,1.679,311.4,2026-03-15,True
GRID-0433,21.865618,80.178418,354.9,24.9,108.0,0.168,-0.32,2.045,1.557,1.675,310.2,2026-03-15,True
GRID-0434,21.865618,80.179594,357.8,28.1,202.4,0.333,-0.225,2.236,2.103,1.288,310.8,2026-03-15,True
GRID-0435,21.865618,80.180771,352.7,22.9,204.4,0.176,-0.354,2.402,1.976,1.77,311.0,2026-03-15,True
GRID-0436,21.865618,80.181947,359.9,19.9,143.4,0.26,-0.182,2.62,1.857,1.65,307.1,2026-03-15,True
GRID-0437,21.865618,80.183124,357.3,14.3,248.6,0.257,-0.202,3.04,1.798,1.628,310.9,2026-03-15,True
GRID-0438,21.865618,80.1843,367.0,7.3,21.6,0.354,-0.182,1.047,1.274,1.052,301.4,2026-03-15,True
GRID-0439,21.865618,80.185476,365.1,5.6,293.0,0.602,0.205,1.134,1.158,0.984,302.2,2026-03-15,True
GRID-0440,21.865618,80.186653,366.5,1.4,171.6,0.433,0.082,1.228,1.198,1.122,303.4,2026-03-15,True
GRID-0441,21.865618,80.187829,362.1,2.8,226.8,0.467,-0.005,1.177,1.138,1.076,301.3,2026-03-15,True
