hole_id,latitude,longitude,collar_elevation_m,total_depth_m,depth_from_m,depth_to_m,thickness_m,mn_grade_pct,fe_grade_pct,sio2_pct,lithology_code,sample_date,structural_domain,is_ore_bearing,source
DH-0169,21.883489,80.178327,375.4,53.6,17.1,23.0,5.9,0.36,4.3,76.27,TIRODI_GNEISS,2025-12-10,Northern_Limb,0,synthetic
DH-0170,21.884681,80.183239,396.3,148.6,101.7,104.3,2.6,0.86,2.45,70.94,TIRODI_GNEISS,2024-11-23,Northern_Limb,0,synthetic
DH-0171,21.888184,80.174154,380.0,115.1,75.1,76.8,1.7,1.2,6.01,51.97,TIRODI_GNEISS,2024-05-24,Northern_Limb,0,synthetic
DH-0172,21.879526,80.178941,360.3,110.1,69.3,73.0,3.7,0.54,2.3,74.6,TIRODI_GNEISS,2023-04-22,Northern_Limb,0,synthetic
DH-0173,21.87907,80.18082,358.7,46.6,20.9,28.8,7.9,29.54,8.68,24.83,MANSAR_SCHIST,2025-10-12,Northern_Limb,1,synthetic
DH-0174,21.884974,80.175391,383.3,162.4,115.8,119.0,3.2,6.71,3.66,49.85,QUARTZITE,2024-11-08,Northern_Limb,0,synthetic
DH-0175,21.882317,80.182218,375.6,176.0,86.6,91.5,4.9,5.94,6.0,51.07,QUARTZITE,2025-02-14,Northern_Limb,0,synthetic
DH-0176,21.880029,80.178587,392.9,99.4,11.7,15.8,4.1,5.98,2.0,46.97,QUARTZITE,2025-07-06,Northern_Limb,0,synthetic
DH-0177,21.885691,80.179897,417.4,56.9,23.7,25.5,1.8,1.96,2.23,55.1,CALC_GRANULITE,2025-10-15,Northern_Limb,0,synthetic
DH-0178,21.880191,80.182293,376.0,145.6,22.4,29.6,7.2,29.6,5.46,13.82,MANSAR_SCHIST,2023-01-01,Northern_Limb,1,synthetic
DH-0179,21.876428,80.175024,392.6,156.5,141.3,146.8,5.5,0.4,5.96,45.87,TIRODI_GNEISS,2025-11-07,Northern_Limb,0,synthetic
DH-0180,21.891894,80.173472,422.0,120.9,76.1,83.8,7.7,0.49,4.59,58.06,TIRODI_GNEISS,2025-01-14,Northern_Limb,0,synthetic
DH-0181,21.877863,80.17982,390.1,156.4,120.9,127.2,6.3,33.9,8.16,13.57,MANSAR_SCHIST,2025-08-26,Northern_Limb,1,synthetic
DH-0182,21.884541,80.184656,377.1,141.7,93.5,97.3,3.8,25.38,6.61,30.15,GONDITE,2024-03-30,Northern_Limb,1,synthetic
DH-0183,21.88637,80.175339,415.8,45.3,26.8,40.4,13.6,18.3,4.17,12.88,GONDITE,2024-08-20,Northern_Limb,1,synthetic
DH-0184,21.883244,80.170781,410.1,118.9,77.9,79.2,1.3,2.0,2.06,63.75,CALC_GRANULITE,2023-12-03,Northern_Limb,0,synthetic
DH-0185,21.884845,80.177915,373.0,111.5,76.7,80.6,3.9,1.36,5.08,53.81,TIRODI_GNEISS,2024-06-04,Northern_Limb,0,synthetic
DH-0186,21.886088,80.178225,355.9,127.5,22.4,34.7,12.3,31.76,9.72,19.17,MANSAR_SCHIST,2024-03-17,Northern_Limb,1,synthetic
DH-0187,21.88645,80.190201,359.5,106.7,70.7,72.5,1.8,6.79,6.96,45.98,QUARTZITE,2025-04-28,Northern_Limb,0,synthetic
DH-0188,21.879707,80.189182,355.7,51.3,35.4,40.5,5.1,0.42,3.89,53.63,TIRODI_GNEISS,2025-07-11,Northern_Limb,0,synthetic
DH-0189,21.883024,80.169002,380.1,106.7,92.7,94.6,1.9,0.63,5.18,73.17,TIRODI_GNEISS,2025-10-18,Northern_Limb,0,synthetic
DH-0190,21.883676,80.172596,400.4,45.6,6.5,14.0,7.5,0.86,5.21,45.93,TIRODI_GNEISS,2025-09-16,Northern_Limb,0,synthetic
DH-0191,21.885731,80.169173,356.4,169.8,112.1,114.3,2.2,5.75,5.8,48.74,QUARTZITE,2023-09-20,Northern_Limb,0,synthetic
DH-0192,21.878247,80.17672,395.1,59.0,31.4,38.6,7.2,1.14,5.31,56.8,TIRODI_GNEISS,2025-10-29,Northern_Limb,0,synthetic
DH-0193,21.877449,80.176344,404.4,164.0,150.9,158.3,7.4,1.17,3.85,73.18,CALC_GRANULITE,2024-05-23,Northern_Limb,0,synthetic
DH-0194,21.880134,80.186363,418.5,81.9,65.2,72.9,7.7,14.9,4.89,14.33,GONDITE,2023-10-01,Northern_Limb,0,synthetic
DH-0195,21.884518,80.177049,397.1,63.7,39.1,45.3,6.2,1.44,5.78,51.84,TIRODI_GNEISS,2024-09-04,Northern_Limb,0,synthetic
DH-0196,21.888359,80.189579,421.1,158.8,128.8,134.8,6.0,0.31,5.27,69.43,TIRODI_GNEISS,2024-03-21,Northern_Limb,0,synthetic
DH-0197,21.885702,80.171879,359.2,72.1,45.8,51.6,5.8,0.4,2.34,46.46,TIRODI_GNEISS,2023-09-29,Northern_Limb,0,synthetic
DH-0198,21.879979,80.179505,407.1,177.5,163.5,165.7,2.2,0.67,5.14,46.4,TIRODI_GNEISS,2024-10-22,Northern_Limb,0,synthetic
DH-0199,21.877422,80.176138,371.0,140.9,75.8,80.9,5.1,0.96,6.3,66.94,CALC_GRANULITE,2025-05-04,Northern_Limb,0,synthetic
DH-0200,21.884812,80.181094,421.0,136.0,39.6,46.5,6.9,1.09,3.68,68.61,TIRODI_GNEISS,2023-01-27,Northern_Limb,0,synthetic
DH-0201,21.886485,80.180629,371.7,115.6,43.3,44.7,1.4,3.55,6.03,48.27,QUARTZITE,2023-04-26,Northern_Limb,0,synthetic
DH-0202,21.874416,80.173346,360.1,72.0,61.1,66.9,5.8,4.84,2.33,61.83,QUARTZITE,2023-10-27,Northern_Limb,0,synthetic
DH-0203,21.889109,80.195014,375.0,158.3,117.4,119.8,2.4,0.69,4.26,45.1,TIRODI_GNEISS,2023-03-08,Northern_Limb,0,synthetic
DH-0204,21.881164,80.179273,407.1,93.4,13.0,20.1,7.1,2.5,3.43,71.89,CALC_GRANULITE,2024-04-04,Northern_Limb,0,synthetic
DH-0205,21.886211,80.181625,371.4,145.2,55.6,60.2,4.6,1.17,6.37,46.67,TIRODI_GNEISS,2024-08-12,Northern_Limb,0,synthetic
DH-0206,21.878417,80.178789,356.5,138.5,115.2,122.2,7.0,37.62,5.5,30.7,MANSAR_SCHIST,2024-10-02,Northern_Limb,1,synthetic
DH-0207,21.880326,80.181886,395.7,175.4,7.1,9.9,2.8,3.99,4.2,58.95,QUARTZITE,2025-06-26,Northern_Limb,0,synthetic
DH-0208,21.888146,80.183851,378.0,157.0,105.1,110.6,5.5,1.89,2.2,45.49,TIRODI_GNEISS,2024-02-07,Northern_Limb,0,synthetic
DH-0209,21.890918,80.172635,374.5,149.8,44.7,46.9,2.2,5.91,5.01,50.52,QUARTZITE,2023-06-02,Northern_Limb,0,synthetic
DH-0210,21.884872,80.183963,380.4,70.2,45.6,47.4,1.8,2.23,4.34,50.58,QUARTZITE,2023-03-25,Northern_Limb,0,synthetic
DH-0211,21.883056,80.178724,365.6,102.8,28.2,30.3,2.1,1.41,2.74,45.81,TIRODI_GNEISS,2024-06-06,Northern_Limb,0,synthetic
DH-0212,21.883201,80.169519,412.3,45.8,26.9,29.0,2.1,3.04,3.24,68.77,CALC_GRANULITE,2023-11-11,Northern_Limb,0,synthetic
DH-0213,21.880392,80.17685,393.3,170.4,12.9,20.4,7.5,0.3,2.3,70.88,TIRODI_GNEISS,2024-09-08,Northern_Limb,0,synthetic
DH-0214,21.884701,80.185466,385.0,111.2,57.9,59.4,1.5,1.51,4.9,55.55,TIRODI_GNEISS,2024-10-12,Northern_Limb,0,synthetic
DH-0215,21.882075,80.173686,375.1,115.9,57.5,64.0,6.5,4.85,2.85,71.6,QUARTZITE,2023-11-23,Northern_Limb,0,synthetic
DH-0216,21.883249,80.174456,407.2,101.2,39.8,43.2,3.4,0.85,4.37,73.01,TIRODI_GNEISS,2024-03-12,Northern_Limb,0,synthetic
DH-0217,21.889617,80.182565,390.9,134.6,48.2,50.7,2.5,3.48,4.98,64.12,CALC_GRANULITE,2025-12-22,Northern_Limb,0,synthetic
DH-0218,21.887141,80.182335,406.2,109.1,82.5,90.4,7.9,1.04,6.9,63.3,TIRODI_GNEISS,2023-01-19,Northern_Limb,0,synthetic
DH-0219,21.878685,80.186933,376.3,60.5,25.3,32.6,7.3,2.01,5.99,70.1,CALC_GRANULITE,2024-05-14,Northern_Limb,0,synthetic
DH-0220,21.888018,80.175067,389.6,174.5,146.3,150.0,3.7,0.94,6.48,56.86,TIRODI_GNEISS,2023-08-21,Northern_Limb,0,synthetic
DH-0221,21.879791,80.173649,370.0,97.1,64.4,65.6,1.2,0.47,6.09,52.44,TIRODI_GNEISS,2025-11-24,Northern_Limb,0,synthetic
DH-0222,21.879594,80.181577,423.5,156.0,77.5,82.1,4.6,3.38,5.84,68.55,CALC_GRANULITE,2025-09-23,Northern_Limb,0,synthetic
DH-0223,21.87887,80.184711,410.0,50.9,11.9,16.5,4.6,1.82,2.57,57.2,TIRODI_GNEISS,2023-07-16,Northern_Limb,0,synthetic
DH-0224,21.87997,80.178715,361.9,67.6,33.0,38.4,5.4,1.99,4.84,65.52,TIRODI_GNEISS,2024-03-07,Northern_Limb,0,synthetic
DH-0225,21.891795,80.178449,422.0,135.5,109.2,113.2,4.0,1.92,4.46,77.76,QUARTZITE,2023-08-01,Northern_Limb,0,synthetic
DH-0226,21.889175,80.171793,362.5,72.8,55.8,62.0,6.2,1.77,3.5,55.08,TIRODI_GNEISS,2025-06-10,Northern_Limb,0,synthetic
DH-0227,21.885074,80.179824,360.9,132.3,92.6,94.7,2.1,3.72,6.25,77.73,QUARTZITE,2025-07-29,Northern_Limb,0,synthetic
DH-0228,21.880008,80.178518,365.1,141.8,16.1,17.5,1.4,2.44,3.3,51.75,QUARTZITE,2024-05-30,Northern_Limb,0,synthetic
DH-0229,21.881026,80.179251,415.0,120.3,91.5,98.9,7.4,0.94,5.06,66.18,TIRODI_GNEISS,2025-04-14,Northern_Limb,0,synthetic
DH-0230,21.884051,80.188594,390.7,97.4,38.3,41.5,3.2,1.47,3.73,55.9,TIRODI_GNEISS,2025-03-08,Northern_Limb,0,synthetic
DH-0231,21.884941,80.17181,380.2,135.9,5.7,11.7,6.0,0.93,6.18,47.41,TIRODI_GNEISS,2023-05-10,Northern_Limb,0,synthetic
DH-0232,21.890738,80.188939,381.9,147.1,11.0,17.9,6.9,1.64,3.4,73.76,TIRODI_GNEISS,2025-01-02,Northern_Limb,0,synthetic
DH-0233,21.884654,80.184096,409.1,170.3,50.0,55.8,5.8,4.91,6.83,54.33,QUARTZITE,2023-06-27,Northern_Limb,0,synthetic
DH-0234,21.881588,80.17641,398.0,83.0,32.1,44.1,12.0,30.36,6.88,29.0,GONDITE,2023-03-05,Northern_Limb,1,synthetic
DH-0235,21.880226,80.174806,359.1,109.0,25.7,31.9,6.2,1.08,6.73,57.83,TIRODI_GNEISS,2024-08-27,Northern_Limb,0,synthetic
DH-0236,21.879548,80.189851,358.3,174.6,52.6,59.8,7.2,1.93,6.42,69.85,QUARTZITE,2025-02-03,Northern_Limb,0,synthetic
DH-0237,21.889525,80.173783,362.8,174.2,93.1,98.0,4.9,6.85,6.11,54.38,QUARTZITE,2023-09-10,Northern_Limb,0,synthetic
DH-0238,21.884123,80.1717,422.7,50.6,26.2,31.0,4.8,0.85,5.9,75.4,TIRODI_GNEISS,2023-06-24,Northern_Limb,0,synthetic
DH-0239,21.886427,80.177652,373.8,86.1,57.7,63.8,6.1,0.56,4.54,72.83,TIRODI_GNEISS,2024-03-09,Northern_Limb,0,synthetic
DH-0240,21.879273,80.180694,372.6,100.7,78.0,80.0,2.0,1.25,4.88,47.54,TIRODI_GNEISS,2024-01-12,Northern_Limb,0,synthetic
